text,text_cleaned_full
tuh poni lama bgt sh panjangnya 😭,tuh poni lama sh panjangnya
menit semua komen nya jier,menit semua komen nya jier
"sebelum rame,",sebelum rame
"semalem mimpi kerumah mamari, trs curhat sambil nangis’ 😭😭😭",semalem mimpi kerumah mamari curhat sambil nangis
MAYI : YAAAAHHHH MINTAAAA 🫴,mayi yaaaahhhh mintaaaa
Lucukkkkkkk🤏🏻,lucukkkkkkk
Maiiii bisa,maiiii bisa
"sehat-sehat mayi☺️☺
yang pacar nya Justin terserah 🙄",sehatsehat mayi pacar nya justin terserah
"19 menit yg lalu udh puluhan ribu 🥰 yg like
sht"" cute girl 😍",menit lalu puluhan ribu like sht cute girl
mamari aslina putih tp ko shades cushion nya aga gelap ya . beda ama gw kulit gelap shades cushion pilih lebih putih😭,mamari aslina putih ko shades cushion nya aga gelap beda ama gw kulit gelap shades cushion pilih lebih putih
madrid or barca mamariiiiiiiii?!,madrid or barca mamariiiiiiiii
till jangan potongg lagi ponii mayiii🤏,till jangan potongg lagi ponii mayiii
haha,
so cutee mayii,so cutee mayii
aaaa so cutee 😭💗,aaaa so cutee
soon ky gni,soon ky gni
poninya sii blonde lama amat panjangnya😭,poninya sii blonde lama amat panjangnya
iii gemess,iii gemess
panjangin please poninya 😭😭😭,panjangin please poninya
"pinternyaa mayiii😵😽
terlalu lucuu ihhh👶💋",pinternyaa mayiii terlalu lucuu ihhh
"""mayi minta"" arghhhh gemesss bangettt🤌🏻🤌🏻🤌🏻🤌🏻🤏🏻🤏🏻🤏🏻🤏🏻",mayi minta arghhhh gemesss bangettt
adek lucuuu amay,adek lucuuu amay
"til, mayi buat aku aja so cute 😭",til mayi buat so cute
Mar gw pantau poni croptop elu blm panjang jg mar😭😭,mar gw pantau poni croptop elu blm panjang mar
"tambah lucu aja Nui bocil, sehat trus kamari🥰",tambah lucu nui bocil sehat kamari
"mayi mau gmna pun ttep lucu, poninya begitu aja masi kliatan lucu😭",mayi mau gmna pun ttep lucu poninya begitu masi kliatan lucu
mayi dan poni croptop nyaa🥰🥰,mayi poni croptop nyaa
“mayi cantik kan?” CANTIK KO MAYII🤏🏻🤏🏻😵😵,mayi cantik cantik ko mayii
till lu nnti klo poni kmri uda pnjng jgn lu lg yg potong😭🙏🏻,till lu nnti poni kmri pnjng jgn lu potong
dia bule bngeett tpi jarang ngomong bhs Inggris....,bule bngeett tpi jarang ngomong bhs inggris
jenn req lu ganti warna rambut jd blondee jugaaaa,jenn req lu ganti warna rambut blondee jugaaaa
YAAAELAAHHH UDHH GEDEEE BGTT😭😭😭,yaaaelaahhh udhh gedeee bgtt
“Mayi tantikkan” aaa gemezz bgt😫,mayi tantikkan aaa gemezz
si poni crop top itu lgii🤏🏻,si poni crop top lgii
yaallah kamari😭,yaallah kamari
mayiii 🥰🥰🥰🥰🥰,mayiii
Tambah lucu aja bayi bule satu ini 😁,tambah lucu bayi bule satu
tau kn kalian yg mana MUA nya😭,tau kn kalian mana mua nya
Adek mayi mau punya adek lgi ga,adek mayi mau punya adek lgi
yg potong poni nya mayi siapa si ? 🙏😂,potong poni nya mayi siapa si
tuh poni lama bgt panjang nya😭😭,tuh poni lama panjang nya
“mayi minta”🤏🏻🤏🏻🤏🏻😭😭😭,mayi minta
Mayiiiii😭,mayiiiii
Lucu sekali kamayi😍😍,lucu sekali kamayi
"""mayi cantik kan?!""",mayi cantik
akayy🤣🤣🥰🥰🥰 gemes,akayy gemes
haii,haii
HEH ITU S PIRANG NGAPAIN TAP TAP CUSHION 😭,heh pirang ngapain tap tap cushion
“wahhh duh…”😭,wahhh duh
Kaya adek kaka😭,kaya adek kaka
haii mayi,haii mayi
"pasti shade lu berubah""kan til",pasti shade lu berubahkan til
wahhduhhh😭😭😭,wahhduhhh
first,first
kamari lucuuuuu bangatttttttttt,kamari lucuuuuu bangatttttttttt
cushion nya di bioku no 1🥰🥰q,cushion nya bioku no
"kamari : semoga gue dipantai ga gosong ya Jen
🗿",kamari semoga gue dipantai gosong jen
,nan
mayiiii,mayiiii
knp kamari sekarang kerja jadi MUA 😩,knp kamari sekarang kerja mua
lucu bgttt mayi😭🫰,lucu bgttt mayi
mayi ucul bgt sii aplgi poni croptopnya 🥰,mayi ucul sii aplgi poni croptopnya
"lucu bgt, poninya miringggg 😭🤏🏼",lucu poninya miringggg
mama mayi semakin berisi semakin cantik 🥰,mama mayi semakin berisi semakin cantik
"Till, lu bukan kerabat gw, tapi gw rela bela in lu dan debat sama netizen till😭🙏, se sayang itu gw sama lu and opkors KAMARII🥰",till lu bukan kerabat gw tapi gw rela bela in lu debat sama netizen till se sayang gw sama lu and opkors kamarii
beda shade mar beli yang 00 marr,beda shade mar marr
jen anj poni nya yallah😭,jen poni nya yallah
mayi gemesss 🥰,mayi gemesss
@rehanaangelita: si blonde makin lucu aja sik😭😭❤️❤️❤️❤,rehanaangelita si blonde makin lucu sik
"poni crop nya belom numbuh""😭😩",poni crop nya belom numbuh
woyy kenapa poni kamariii😭😭,woyy kenapa poni kamariii
kamari ngambil muka bapak nya ketimbang emaknya,kamari ngambil muka bapak nya ketimbang emaknya
ga kerasa udah gedeee mayiiiii😍😍😍,kerasa gedeee mayiiiii
"""otey,mayi minta""",oteymayi minta
komennya pada menit semua jir 😭,komennya menit semua jir
ihh gemas bgtt mayi udah besar🥹,ihh gemas bgtt mayi besar
bayikkk ikut campurr bngttt dah 😩🫵😭❤,bayikkk ikut campurr bngttt dah
JENN KENAPA LUU MAKIN HARI MAKIN GLOWING!!,jenn kenapa luu makin hari makin glowing
cushion nya di bioku no 1🥰v,cushion nya bioku no
poni nya gakuat😭,poni nya gakuat
poni nyaa😭😭😭,poni nyaa
mayiiiiiiiii🥰,mayiiiiiiiii
"""mi pinta""😭 🤏",mi pinta
"""mayi minta"" 🫴",mayi minta
lucu bgt si mayi,lucu si mayi
Gemesnya oiii mayiiii😫🥰🥰🥰,gemesnya oiii mayiiii
poni lu marrrrr😭,poni lu marrrrr
ihh mayi udah gede🥹🤏,ihh mayi gede
baru sadar mayi poninya miring😂,baru sadar mayi poninya miring
"kamu sebenarnya putih banget ya till, tapii kamu kalau tanskin lebih menyala auranya 🤍🤍",sebenarnya putih till tapii kalau tanskin lebih menyala auranya
itu pengasuhnya kamari yang dulu kemana sih kalo boleh tau?udah jarang keliatan,pengasuhnya kamari dulu kemana kalo boleh tauudah jarang keliatan
gemess bangett mayiii🥰🥰,gemess bangett mayiii
"""Mayi tantik"" 😫😫",mayi tantik
mayikkk ko kmu lucu bgttt😭🌹,mayikkk ko kmu lucu bgttt
Mak mintak kata si blonde😭,mak mintak kata si blonde
mayii,mayii
sibuk bngt kya nya yg kanan,sibuk bngt kya nya kanan
"gemes bgt ""mayi minta""😭",gemes mayi minta
dmnpun berada mayi sll nyanyi😂riang sll kamu mayi😂🥰,dmnpun berada mayi sll nyanyiriang sll mayi
"""Mayi minta"" hhh mayi mayi cute banget😂🫠",mayi minta hhh mayi mayi cute
cushion nya di bioku no 1🥰q,cushion nya bioku no
pakek cushion apa kak??,pakek cushion apa kak
“Mayi cantik kan?” 🥺🥺🥺,mayi cantik
"jen, kedepannya kamari bakal diajarin bahasa belanda gak jennn.",jen kedepannya kamari bakal diajarin bahasa belanda jennn
mayiii ❤,mayiii
Im here always for mayi🥰,im here always for mayi
"""mayi mauu"" lucuuu bgttt 🥹🤍🤏🏻",mayi mauu lucuuu bgttt
mayi lucukkk banget😣💗,mayi lucukkk
kamari; aku cantik kan😚,kamari cantik
"""yang mungkin anda kenal""",mungkin anda kenal
masih sunyi😁,masih sunyi
MAYIIII😭🤏🏻,mayiiii
iyaa nak mayi cantik kok,nak mayi cantik kok
lucu ni blonde😭❤,lucu ni blonde
"kak ijin mau nanya itu cushionnya kok lebih gelap dari warna kulit kk ya??
ijin tanya ya kak",kak ijin mau nanya cushionnya kok lebih gelap warna kulit kk ijin tanya kak
ko udah gede si dia ih,ko gede si ih
ih aku PERTAMA,ih pertama
"""okeyy mayii mintaa""😖",okeyy mayii mintaa
makin pinter aja mayiii🥰,makin pinter mayiii
mayi yg secantik itu berkelahi dgn poni yg dipotong emak nya sembarangan 😭🙏,mayi secantik berkelahi dgn poni dipotong emak nya sembarangan
"“mayi cantik kan?” ah elaaahhh pke nnya sgla, cantik bngt lu yiii",mayi cantik ah elaaahhh pke nnya sgla cantik bngt lu yiii
"""mayi cantik kan"" ? yeess kamuu cantikkk bingit mayiii",mayi cantik yeess kamuu cantikkk bingit mayiii
"mayi lo udah cantik dan putih,ngk usah pake bedak🤏🥰",mayi lo cantik putihngk usah pake bedak
mayi mau ngedate ama sapaaa tuhhh?,mayi mau ngedate ama sapaaa tuhhh
til pasti seneng banget ya skrg kamari udh jelas banget ngomongnya🥺,til pasti seneng skrg kamari jelas ngomongnya
cushion nya di bioku no 1🥰🥰z,cushion nya bioku no
first ni mamayi,first ni mamayi
"""mayi minta"" 🤏🤏",mayi minta
kak itu poni kamari dipotong sendiri kah?😂,kak poni kamari dipotong sendiri kah
kayak ny nanti kamari jadi mua😊😊😭,kayak ny nanti kamari mua
p,
"woyyyy Kamari imut kali Lo kau dekk🥰😭 MasyaAllah tabarakallah, sehat dan makin pintar ya Kamari",woyyyy kamari imut kali lo kau dekk masyaallah tabarakallah sehat makin pintar kamari
bikinin Kamari vlog sendiri 😘,bikinin kamari vlog sendiri
Jen minjem kamari mau ajak main sih 😄,jen minjem kamari mau ajak main
pertama?,pertama
hay kamari🥰🥰,hay kamari
mayiiiik🤏🏻,mayiiiik
lucu banget kamari🤏🤏,lucu kamari
"hello kamari, aku fans kamu loh",hello kamari fans
😂😂😂😂Kamari,kamari
till percumaa ngejelasin kitaa perhatian nyaa ke si pirang😌,till percumaa ngejelasin kitaa perhatian nyaa si pirang
"""03 wehhh""",wehhh
kamari tuh jessivard versi sachet,kamari tuh jessivard versi sachet
plis poni nyaa😂😭,plis poni nyaa
Gakuat mayiiii😆😆😆🤏🤏🤏,gakuat mayiiii
bocil lucu.bingit,bocil lucubingit
mayi😭😭,mayi
lucu banget 🤏🤏 kamari,lucu kamari
mayiiii gumushhh amat😍😍,mayiiii gumushhh amat
timephoria,timephoria
adikkk gorjess💕💕💕,adikkk gorjess
adek gemes banget sihhh🥰,adek gemes sihhh
cushionnya ada dibio ku no 1🥰🥰j,cushionnya dibio ku no
cushion nya di bioku no 1🥰🥰r,cushion nya bioku no
Pertama tip dapat kamari kan😂😂😂,pertama tip dapat kamari
mayi makin pinterr ajaa luu😭,mayi makin pinterr ajaa luu
Spill bajunya jen,spill bajunya jen
lucu nya kamari🥰,lucu nya kamari
aaa lucuu bgt mayii🥰,aaa lucuu mayii
Udah pinter ngomong kamari kawaii,pinter ngomong kamari kawaii
lucu banget mayi,lucu mayi
lucu bangeeeeeeeeeettt,lucu bangeeeeeeeeeettt
cntik,cntik
aku gabisa bahasa Inggris plissss😭😭😭🙏🙏🙏😂,gabisa bahasa inggris plissss
lucu kamari,lucu kamari
masih dengan lagu cicak cicak di dinding nya😂,masih lagu cicak cicak dinding nya
mayiii kamu lucu banget🥰🥰,mayiii lucu
suka bnget liat mayi ngomong 🥰,suka bnget liat mayi ngomong
mamari mirip banget tau kayak mama nya angel diaz intermiami,mamari mirip tau kayak mama nya angel diaz intermiami
masih lucu banget si blonde,masih lucu si blonde
Salfok poni mayii,salfok poni mayii
🥰🥰🥰🥰🥰Mayi lucu pol,mayi lucu pol
"lucu bgt ""mayi minta"" wwkwkwkwkw",lucu mayi minta wwkwkwkwkw
kemayu e Masya Allah kamari,kemayu masya allah kamari
Kamari Be dest 👍🏻,kamari be dest
mayi poninya siapa yg potong,mayi poninya siapa potong
gemesss bgt mayi❣,gemesss mayi
mayi🥰love u,mayilove
"""mayi minta"" 😂😂😂",mayi minta
plis poni nya siapa yqng potongin😭😭,plis poni nya siapa yqng potongin
"""mayiii mintaa"" 😳",mayiii mintaa
Loveee iitt 🤏🏻🤏🏻,loveee iitt
you and your little angel masya allah beautiful,you and your little angel masya allah beautiful
Hy gayss🤣🤣 luccuu 😍,hy gayss luccuu
"""mayi cantik kan? 🥰🥰🥰""",mayi cantik
"""mayi cantik kan""😭",mayi cantik
lucuu nya mayiiiii😍,lucuu nya mayiiiii
oh mayi dari barista ganti profesi ya jadi MUA,oh mayi barista ganti profesi mua
"""mama minta"" 🥹",mama minta
Shade mu qm turunin ya jen?,shade mu qm turunin jen
till spill eyebrow nya,till spill eyebrow nya
"""pake bedak""🤏🏻🤏🏻",pake bedak
ehh sbrrr ituu prasaan poninya mkinn naik deh🤔,ehh sbrrr ituu prasaan poninya mkinn naik
Suka cara Jen. Bagi Mayi cuba segala. Libatkan Mayi dalam segala urusan. Good job mama 🥰,suka cara jen bagi mayi cuba segala libatkan mayi segala urusan good job mama
"gak bisa di like ya🤣
恋:.̷̼͉̞̗̖͎͇̹̍̅͗͂̓̏͒̕.̶̨̗͚͖̣̥̪͕̽̐̕.̴̭̠̳̘̱̼͖̗͐͌̌͘͠.̸̨̮͓̱̠͖̺̺̻͚̿́̋̋͑̈͊͊̀̊̚͝.̶̺̰̭̼̦͖̻̱̣̀̑̀̏.̸̢̛͙̟̼͇͙͈͑͛͆̓.̷̧̰͚̫͙͍̥̱͍͊̆̔͋̈̐̓͋̃͒̇̚.̶͉̹̗͚̄̆̈́͋͘͝.̷̯̹̻̫͓͉̩̑̈́͊̍͑͆̀͠.̶̡̢̞̖̘̕.̴̩̝͓̰̭̗͍͎̘̺̊͊́͆.̷̧̛͉͓͇̮̥̤̠̣̞̇͋͒̚͜.̷͙͔́̅̿̆̑̉̚͝.̵̛̭̮̼̜͕̀͂͌̀̀̑͒̽̓̚.̶̧͈͕̰̼̩͍̺̜̳̽͗̔̐̀͂̃͑̓͝.̷̺͙̹̼̖̀ͅ.̷̠̅͐͗͑̒̎͑̀͌̈͆́.̸̩͖̯̪̥͑̄͜ͅ.̶̧̨̩̫͎̖͓̬̙͇̓́̐ͅ.̵̹͖̟̘̓͒̿̋͌̔̒͑̈́̓.̵̡͍̦̯̙̖͂̌̈́̀̽͘͜͝.̵͕̠̰̑̀.̶͇̹̠̜̰̪͓͎̱̝͚̟̍̾͛̅͘.̵̧̙̰̖̻͍̤̝͇̎̑͂.̵̪͎͗̽̕.̶̫̭͈͙̀̀̅͘͝͠.̸̡̼̩͕̱̰͉̝͑̾̒͐̄͂̆̈͗͛͆̕.̴̢͚͙̦̿̊̀̕ͅ.̶̛̼͎̣͉̻̲͔͐̈́̐͛̓̈́̾́̕̚ͅ.̸̨̱̥̻͕̦̉̔̓̏͂̊̐̽̊̒̅.̶̨̡̤̠̞̦̙͈̖̰̹̒̄̂̅̉͊̑̀ͅ.̷̡̗̱̻͓͔̭͕͔̀͗͊͋̓̎͜͝ͅ.̶̛̛̝͓̟͛̀͑̅̍̎̔̒͝.̸̢̥̯͔̫̭͔͋̅͜͝.̷̡̡̧̡̪̫̠̯̘̫̤͑́̑́ͅ.̷͍͎̑͑͌͘.̴͓͝.̴̢̢̛͓̀͒̈́͑̒̊͝.̷̦͔͔̲̼̭͇̰͍̝̈́̾̓͊̎̆̋̕͝.̸̢̤̋̃̓̉͗̏̾̃̌̚͘̕.̵̨͓̼͚̮͆͂̍.̴̨̢̩͕̝͚̱̙̹̠̝̀̎̑̕ͅ.̸̡̫̺̜͙̃͌̈͆͝͝.̵̭͕͙̻͍͍̞̗̿͒́͆̎͒͑̈͜.̴̨͎̱͖̤̩͎͚̗̭̖̦͆̆̍̈́.̵̧̘̰̬̫̙̤͔̫̥̱̌͂̔̇̾͊̈́́̒͒̋͜.̷̳͕͓̲̭̺͓͓͆̽͗̌.̸̢͇͈͎͉͓͕̬̲̆͂̓̃̅̑̽̍́̕̚͜͠.̵̧̢̥̥͙͖̻͍̍.̴̜̖̳̌̒̈́̀͐͗́́̔͐̀̓.̴͚̯͕̏.̶̛̰̙̫̼͉̲͍͍̼͕̓́̉̐̈́̊̏̍̕.̵̢̖̘͖̹̪́̈͐̾̍̈́.̵̛͉̞̳͉̪͕̦͖̯̙̼̋͊̈́́̚͠.̵̘̙̍.̴̧͍̟̭̗̫͓̺̼̒.̸̟͎͕͑.̶̨̧̛̻̬̱̻̖͗̔.̸̢̬̰̰͇͔̞́̅̊̎̈́͂͂͗̾̏ͅ.̴̻̳̖̦͇̦̼̣̳̜̝̪͠.̵̨̰̳͍̈́͒͂̾̌͆̄̑̕͝.̵̡̛̯͇͚̰̬̰͊̉͐̾̽̀͜ͅ.̸̢̣̳̩̰̞̰̳̼̉̔͐̔̉̌̐͆͊͝͠.̶̨̣̠͉͈̙̯̤̤̖̖̀̊͑̓́͂̔̇͝͝ͅ.̵̣̱̱̰̈́͆̾̑̍̇͑̈́̊̓̚.̶̨̧̧̪̮͕̮̙̜̄͋̄́͋̈́͒͝.̴̟̉̽̍̅͠.̶̨̡͕̞͚͖͉̘̙̣̫̤͂̅̚.̵̰̼̎̂͌̏.̶̢̤̙̠̺̟͍̌͛̂͒̓͐̒̚.̷̡̹͇̘̺̺̥̱̜̝̉̽͗.̶͓̲̱͇͎̩̻͍͆͐̒͌̀̾̌͛̾̍͋͘.̷̂̄͆̈́̒̀͜.̴̞̖̞̳̾́̉̑̿͋̌́̉̓.̴͙͖̗̘̲̤͖̂̽̒̎.̷̫̩͚͖̬̬̲̹͑̐̕͝.̷̢̡̡̧̭͕̙̬̝̱̭̈́́̋͜.̸̛̬̳͙͔̌̾̈́̔̋͌͂̅͠.̶͇̖̐̈́́̀́͜.̷̗̹̉̋̍͋̀̆͆̓͘͠ͅ.̶̨̩͚̪̠̺͖̬͛̓̒͌͐͌̀̓̐̑́̏.̸̤͉̗̬͙͚͓̭̰̞̝̾̔͑̓̓̔̊̒̈́͘͝.̸͚͒.̷̧͓̲͈̙̱̉͆̿̾̎͐̔͐͜ͅ.̵̨͓̩̺̬̠͇̣̎̍̔̿̆̂̃͠.̸͖̦̻̓͌̆́̄̇̄̾̊̊̃͘.̴̢̡̦͇̹̗̦̲́̈͝.̸͇͓̫̖̜̞̀̋̀͆̓͌̆̈͜͜.̵̬͓͑͛̐̓̈̈́.̴̢̝̣͍̦͚͇̘͉̘͊̋̉̊̋́̍͠.̴̛̹͔̗̣̱̀̄̆̓̔͗͊͋̆.̶̧̮̥͔̹̫͎͒.̷̡̡̜̒̄̃̅͋̀̏̇͊͜.̵̜̜̐̄̏̇̓.̶͕̄̎͐̓̔͘.̶̹̹͐̍.̸̡̥͠.̸̡̧͕͖̫̹̎̓.̷͈̲͍͎̯̮͍̙͉̳̄̏̈́̇̄͊́͜͠͝͝͝.̷̡̝̳͔̯͍̼̦̪͔̠̣̔̀̔̑.̴͔̼͌̇͛̃̂.̶̛͔͈͖̼͉̔́́̽͘͝͠.̶̜̖͈̱͚̠̺̋ͅ.̸̢̡̧̜̘̯̰͎̘̂̈.̴̛̬̟͉̌͌̅̈́̂͌̈́̚͜.̶̠͒̑̃̅̿́͘̚.̵͔̖͕̙̮̈́.̵͈̳̆̽.̴͈̅̇̈́̈́͒́̏̓̊̕.̵̨̮̜̬͓̻̆͑̀́̾́͂̉̔͌̎͆.̴̻̬̜̥̞̺̥̃͊̉̀͠.̴͕͙̘͊̔͜.̷̡̰͚͕̟̔̀͆́̎̕͘ͅͅͅ.̶̢̳͈͇̼͔̘͇̝̯̮̦̉̔͝.̴̨̨̯͖͇͍̃̿͌͋͗̒̚.̶͎̃̃͌̎̔̏̀̄͛̈́͋.̸̧̛̛̳̠̣͕͕͔̦̮̒̈̆̈̈́́̆͆̚͝.̶̘͍̮̥̓.̶̺̐̌͊̂.̷̟̀.̴̧͎̪̥͎̜̜̠̟̓̏̓̑͂̏̏͐͜͠͝.̸̧͕̟̖̳̲̤̝̂̍͗͜͜.̸̧̞̳̹̩̜̟̇̒̏͘ͅ.̶͔̰̯̥͖̰͚̄̌̅.̴̝͍͈̩̘̌͑.̴̱̘̱̹̳͍̮͉͗̊̋̇̏͝͠͝͝.̶̧̢̥̥͈̜̓.̶̹͍̺̰̜̟̰͓̜̱̎͐́.̷̨̩͔̝͕̫̱̞̫̝͂̿.̸̖͖̟̹͍̰̟̲̟̫͑̂͊͐̽̈́̇͠.̶͇̙̎̏͘͝.̸̨̨̯̥̯̳̜̊͒̄͒̄̚͠.̶̲̟͗͠.̴͔̫̦͐̑̑͑̿̔̐̽͝.̶̠͔͚̮̺͙̞̫̙̄̑̀̎ͅͅ.̵̢̡̙̼͓͖̻͖̹̞̯͆́͜.̵̢̹̘͒̎̈̏̓̋̀͗ͅ.̸̡̗͕̭̬̲͙̙̭̩̊̋̋̊͗̋͆̑͊͘͠.̴̻̬̥͚̦̀͊̎͗͒͝ͅ.̷̄͋́͋right.̴̢͓͉͔͓̗̦̬́͗̋̏͜.",bisa like right
siapa yang motong poni kamari ko agak miring dikit🤔,siapa motong poni kamari ko agak miring dikit
mau pinjam mayi bole ga ka😌,mau pinjam mayi bole ka
doi poni miring aja cakeppp bgt yak😭😭,doi poni miring cakeppp yak
'mayi mintaa' lucu bgtt adekkkk😭🥰,mayi mintaa lucu bgtt adekkkk
kapan buka cabang chewy's di lampung jen🫵,kapan buka cabang chewys lampung jen
Love you kak jen dan mayi😘,love you kak jen mayi
marrr😭,marrr
Poni crop top😭,poni crop top
eh maaf 😭😭 dri justin,maaf justin
BNTR LG KAMARI REBUT MEKAP MAMA NYA😭,bntr kamari rebut mekap mama nya
poni nya masih croptop 😭🤏🏻,poni nya masih croptop
poni nya kapan tumbuh lagi mayi lama bgt dah perasaan tumbuh nya 🥲,poni nya kapan tumbuh lagi mayi lama dah perasaan tumbuh nya
,nan
😭🤏🏻,
hi guyss,hi guyss
😭,
"maap jen, tp cantikan mayi 🙏😭",maap jen cantikan mayi
masih ngakak ama Poni croptop,masih ngakak ama poni croptop
vidionya kaya ngeblur ga sii apa punya aku doang😭,vidionya kaya ngeblur sii apa punya doang
masih 14😭,masih
mayii: oh mai got bagus banget alis gw,mayii oh mai got bagus alis gw
😁🤭,
poninya kaya stuck disitu ih😭,poninya kaya stuck disitu ih
Pertama bgt ini mayiiii🥰,pertama mayiiii
sekarang udah berapa gais?,sekarang berapa
kabarin klo sudah ribuan,kabarin ribuan
Allo kamari,allo kamari
sekarang brp,sekarang brp
cakep til,cakep til
🥰🥰🥰,
😁😁😁,
@wingsLoon,wingsloon
🥰🥰🥰,
😁😁😁,
💋💋💋,
🥰🥰🥰,
😢,
😁😁😁,
😅,
😁,
😁,
😊,
😂😂😂,
😞,
😭,
😭,
jennn kamu cntik baungetttttttt 😻😻😻😻😻,jennn cntik baungetttttttt
masyallah mayi,masyallah mayi
kamari🥰🥰,kamari
adik yang blonde lucu banget cemong’🥹🫰🏻 yang rambut item yang ngedumel terserah😗,adik blonde lucu cemong rambut item ngedumel terserah
mayiiii❤,mayiiii
Lah lama-lama mirip indahkus 😅,lamalama mirip indahkus
masih sepii guys,masih sepii
centill bangett adekkkkk,centill bangett adekkkkk
cepet banget gedenya😭,cepet gedenya
dia putih tapi bedakannya malah suka yg coklat tanskin,putih tapi bedakannya malah suka coklat tanskin
jen pinjem mayi 1 bulan aja🫴,jen pinjem mayi bulan
"sehat selalu til, tolong itu kamari bisa di pinjem selamanya ga? 😂✌🏻",sehat selalu til tolong kamari bisa pinjem selamanya
kyuttt bgt kamayi,kyuttt kamayi
saingan bedak sejak kecil . sama mayi😁,saingan bedak sejak kecil sama mayi
kepencet ya,kepencet
ihh smpk sni kamuu😂,ihh smpk sni kamuu
😭😭😭😭,
*mayi cantikkan*?,mayi cantikkan
lucu poninya crop bngt😭,lucu poninya crop bngt
mayi minta🤏🏻😻😻😻😻,mayi minta
poninya menanjak 😌,poninya menanjak
ponimu ngga nahan mar😭,ponimu nahan mar
Mayi jagan besar dlu😭 tetap bayi aja,mayi jagan besar dlu tetap bayi
bayyikkk lucu banget 😍🥰,bayyikkk lucu
halooo kamariii🥰,halooo kamariii
mayiiii acuuuu,mayiiii acuuuu
girls,girls
udh gede aja mayi bsk lgsg wisuda aja ya,gede mayi bsk lgsg wisuda
"""mayi mintak""",mayi mintak
“mayi mintak” wkwkwkkw,mayi mintak wkwkwkkw
mayi udh siap jadi MUA di belanda,mayi siap mua belanda
Kenapa sihhh lucu bangett😍😍,kenapa sihhh lucu bangett
"""mayi cantik"" cantik bgt kmu mah mayiiii 😍🥰",mayi cantik cantik kmu mah mayiiii
MAYIII😭,mayiii
Gemes bgtt,gemes bgtt
"kulit lo kok bisa ya nge blan sempurna gtu til, bagus bngt sehat, orng"" mau putih lo mau sawo matang😭",kulit lo kok bisa nge blan sempurna gtu til bagus bngt sehat orng mau putih lo mau sawo matang
gemeeez🥰🥰,gemeeez
Lucuuuuk bgt adekkkk,lucuuuuk adekkkk
kamayiiii lucuuuu,kamayiiii lucuuuu
Siapa yang potong poninya 😭,siapa potong poninya
comel kalii❤❤,comel kalii
mayi dan mamayi siap bersaing dapetin jusa😭,mayi mamayi siap bersaing dapetin jusa
ayo sebelum Ribuan 👏🏻✨,ayo sebelum ribuan
p,
kamari bayi online ku.. 🥰,kamari bayi online ku
sering buat konten gini bareng mayi dong ka jen 😍😍🫵🏻,sering buat konten gini bareng mayi ka jen
mamari tulung pinjem mayi nya bentaran doang,mamari tulung pinjem mayi nya bentaran doang
lucu banget plissss🤏🏻🤏🏻,lucu plissss
pertama,pertama
baru aku perasan muka mayi mirip muka Jen,baru perasan muka mayi mirip muka jen
hayy,hayy
"jenn tolong klarifikasi,tu poni mayi siapa yg motong😩😩",jenn tolong klarifikasitu poni mayi siapa motong
eh mayi kok ude gede aje lau😂,mayi kok ude gede aje lau
cushion nya merk apa ya?,cushion nya merk apa
Kembalikan mayi yang dulu ngga🫵,kembalikan mayi dulu
auuuu makin lucu❤🥰,auuuu makin lucu
🌹,
🥰,
🥰,
😊😊😊,
😂,
💪💪💪,
😁,
🤩,
🙂,
😳,
😁,
😁,
😅,
🥰,
😁,
🤩,
😌,
🥰,
😭,
😊,
🙏,
🥰,
😁,
😁,
😂,
😭,
😂,
❤,
🥰🥰🥰,
😳,
Tadi malam mimpi berenang smaa mayi😭,tadi malam mimpi berenang smaa mayi
🥰,
😁,
mamanyi mirip Lisa blackpink,mamanyi mirip lisa blackpink
🤭,
😁,
😁,
😁,
😂,
🤭,
😭,
🥰,
mayiiiii micuuuu,mayiiiii micuuuu
😁,
😭,
dia nyanyi lagu apa till,nyanyi lagu apa till
poni crop top nya lama bgt tumbuhnya til 😭🤣,poni crop top nya lama tumbuhnya til
skrng berpaa,skrng berpaa
Putih juga lu til,putih lu til
mayi cantik ngga🥹🥹,mayi cantik
centilnya blondee,centilnya blondee
kameranya geseran dikit dong Jen,kameranya geseran dikit jen
mayiii poni nya crop top🤏🏻,mayiii poni nya crop top
MUAnya masih pake pempres😋,muanya masih pake pempres
Jen saingan lu bkn cwe laen lg tpi anklu dewek wkwk,jen saingan lu bkn cwe laen tpi anklu dewek
pantasan Jen nggak gampang stres Krn Neti org dia ada pawang di bule🥹,pantasan jen gampang stres krn neti org pawang bule
Mamari cakep bgtt😭😭,mamari cakep bgtt
lucuuuuuuu bangettttt adik gwwwww🤭😘😘😘😘,lucuuuuuuu bangettttt adik
poni mayi bergelombang 😭,poni mayi bergelombang
gemess☺☺ banget 🥰🥰,gemess
"mayi sayang,ciapa cih yg potong poninya? pendek cekalii poninya tp mayi ttp lucu kok ☺",mayi sayangciapa cih potong poninya pendek cekalii poninya mayi ttp lucu kok
ih mayo udh gde?😭😭,ih mayo gde
beneran timephoria sebagus ituu pls!! 🤩,beneran timephoria sebagus ituu
"lucuu bangett""mayii mintakk""",lucuu bangettmayii mintakk
lucu bgt sehat terus ya mamari,lucu sehat terus mamari
lucu amay mayiiiiii,lucu amay mayiiiiii
