text,text_cleaned_full
Kakk inget “yang mungkin anda kenal” bukan “yang mungkin kenal anda”😭,kakk inget mungkin anda kenal bukan mungkin kenal anda
😭😭,
HAH?,hah
HAHAHAHA,hahahaha
😭😭,
bisa aj😭,bisa aj
Kak☹,kak
🗿,
mana iya lagii😭,mana iya lagii
loh kamu juga? kirain cuma aku aja,kirain cuma
samaaa,samaaa
emang kita yang kenal ka tapi jenifernya yang ga kenal😭,emang kenal ka tapi jenifernya kenal
iyaa plis d aku juga gitu😭,plis
sama plis,sama plis
samaaa😭😭,samaaa
Sama😭🙏🏻,sama
Iyah ih aku juga gitu,iyah ih
sama kak 😁,sama kak
iya lagi,iya lagi
SAMAAA,samaaa
bener bgtt,bener bgtt
Ingat @Mamanya kamari,ingat mamanya kamari
life must goes on hhhhh💃,life must goes on hhhhh
gush gt lh dia pgn bhg dlu gush d bikn nangis' trs,gush gt lh pgn bhg dlu gush bikn nangis
"inget la dia, dia ga amnesia jir",inget la amnesia jir
si tll,si tll
apa maksud lo ? lu mau dia nangis setiap hari sampe gila??,apa maksud lo lu mau nangis setiap hari sampe
Ga usah komen disini dah sibuk bgt hahah,usah komen disini dah sibuk hahah
"Gausah ngetag gitu pls, relain aja ya",gausah ngetag relain
Gile luu 🤣,gile luu
Di awal dia ngmng pph ga si ketika ngmng pante ? Atau salah denger,awal ngmng pph si ketika ngmng pante salah denger
Trs knpa kocak?,knpa kocak
Ya terus kamu ngapain komen kocak,terus ngapain komen kocak
(Ya Allah) bukan Yallah,allah bukan yallah
typo,typo
aah😭,aah
😂,
😂😂,
😭,
Mending co timephoria apa shine russia??,mending co timephoria apa shine russia
timephoria plisss bagus bgtt😍,timephoria plisss bagus bgtt
Makasih kak sarannyaa 🤗,kak sarannyaa
Timephoria sih menurutku yah😊,timephoria menurutku
Makasih kak sarannya 🤗,kak sarannya
"setuju!!! guele jugakkkkkkkkkkk
timephoria blm ada refilnya 😞 sedih bgt",setuju guele jugakkkkkkkkkkk timephoria blm refilnya sedih
mending mana sama Make over? kulit kering,mending mana sama make over kulit kering
"Saran sih kak, mending cobain dulu timephoria karna dia coverage bgt trus menyesuaikan tekstur kulit juga mau kering,oily dll tetap matte dan flawles",saran kak mending cobain dulu timephoria karna coverage menyesuaikan tekstur kulit mau keringoily dll tetap matte flawles
timephoria atau something kak,timephoria something kak
timephoria or skintific kak ? 🥹,timephoria or skintific kak
"Aku udah pernah pake skintific juga sih,tapi waktu aku timpa bedak padat gitu eh ngecrack,jadi aku beralih ke timephoria sih kak ini menurut kulitku yah kk,gak tau kulit kk nya🙏",pernah pake skintific sihtapi waktu timpa bedak padat ngecrackjadi beralih timephoria kak menurut kulitku kkgak tau kulit kk nya
Aku gak pernah coba guele jadi aku gak tau kualitasnya kak😁,pernah coba guele tau kualitasnya kak
Bner yaaa???? Klo ku lot kering gmn???,bner yaaa ku lot kering gmn
emang kan j3n suka kulit agak gelap wkwk,emang jn suka kulit agak gelap
kek nya tone kulit jen udah mulai balik putih lagi deh,kek nya tone kulit jen mulai balik putih lagi
Iya jen tuh sukanya item tpi kulit aslinya putih🤣,iya jen tuh sukanya item tpi kulit aslinya putih
aku jg gtu tau😭nyamain sama warna tangan,gtu taunyamain sama warna tangan
KIRAIIN AK AJA YG GINI😭,kiraiin ak gini
aku putih tangan dari muka tolong😭,putih tangan muka tolong
samaa pliss kalo ngikutin warna asli muka kalo foto keliatan tangannya kek gelap bgtt ni tangan😭,samaa kalo ngikutin warna asli muka kalo foto keliatan tangannya kek gelap bgtt ni tangan
tapi cocok bngt di mamarii,tapi cocok bngt mamarii
emang dia suka yang tone gelap,emang suka tone gelap
emg snegaja kampung biar tan skin,emg snegaja kampung biar tan skin
😳😍😁😏😏😂😂😇😇😇😇,
heh,heh
cushionnya ada dibio ku no 1🥰i,cushionnya dibio ku no
mak nya anjir😭,mak nya
😭😭,
"itu yang sibuk nepok"" muka kaa😭",sibuk nepok muka kaa
kelakuan jen tu 😏 ponakan gua jd sebelah poni nya,kelakuan jen tu ponakan gua sebelah poni nya
siapa lagi kalo bkn si jeni😭😭😭,siapa lagi kalo bkn si jeni
Mayi cantik Kan??😭,mayi cantik
lucuu tapii kayaaa beda ajaa 😭,lucuu tapii kayaaa beda ajaa
blonde gueeee😍🙌,blonde gueeee
mayiiii,mayiiii
Bagus gk gays alis aku 😭😭,bagus gk gays alis
lucu banget😭😭🤏🏻,lucu
"""mintakkkk""",mintakkkk
gemesnya,gemesnya
blonde alami😭💓,blonde alami
kamari: ayu tenan aku rek,kamari ayu tenan rek
"""mayi minta"" 🥰",mayi minta
"Salfok, itu lemari bajunya rapih banget beresinnya sesuai warna🥰",salfok lemari bajunya rapih beresinnya sesuai warna
LUCU BGTT MAYII 😣🤍,lucu bgtt mayii
"poni nya ga panjang"" 😭😭",poni nya panjang
"liat Jen ❎
liat kamari ✅",liat jen liat kamari
kamariiiii cantiknyaaaa ❤️❤️❤️❤️❤️❤,kamariiiii cantiknyaaaa
lucu bngett kamu kamari...gemesss amatt..🥰🥰🥰,lucu bngett kamarigemesss amatt
mayiii minta 😭🤣,mayiii minta
YAAMPUN MAYIII KM LUCUU BANGETTT,mayiii km lucuu bangettt
kamari fans aku,kamari fans
mayi blonde dpt dr syp sih sbnr ny?,mayi blonde dpt syp sbnr ny
aaaaa mayiii udaa pinter bgt yaa sekarang 🥺🥺,aaaaa mayiii udaa pinter sekarang
YAAMPUN ADIKKKK,adikkkk
"kak, kak justin hubner masuk di lks aku 🤩",kak kak justin hubner masuk lks
uda lancar bgt ngomongnyaa 😭😭,lancar ngomongnyaa
"bikin lagi aja Jen, mayi buat gue",bikin lagi jen mayi buat gue
boleh liat story gw gak🙏🙏,boleh liat story gw
pls bagian itu sweet banget🥺,bagian sweet
@teni,teni
cushion nya di bioku no 1🥰🥰u,cushion nya bioku no
Jen you know sungsang ? @Mamanya kamari 😭,jen you know sungsang mamanya kamari
cushionnya ada dibio ku no 1🥰g,cushionnya dibio ku no
udah lama tau,lama tau
"ngatur""",ngatur
YOU SAID SUNGSANG😌😌😌😌,you said sungsang
Sungsang anjj😭,sungsang anjj
itu poni crop top kak kata mama Jenn😭😭,poni crop top kak kata mama jenn
😂🤣😅,
😂🤣,
cushion nya di bioku no 1🥰🥰i,cushion nya bioku no
cushionnya ada dibio ku no 1🥰j,cushionnya dibio ku no
cushion nya di bioku no 1🥰🥰w,cushion nya bioku no
cushion nya di bioku no 1🥰e,cushion nya bioku no
cushion nya di bioku no 1🥰g,cushion nya bioku no
mak nyaa sendiri wkwkwk,mak nyaa sendiri
cushion nya di bioku no 1🥰i,cushion nya bioku no
cushion nya di bioku no 1🥰🥰j,cushion nya bioku no
cushion nya di bioku no 1🥰o,cushion nya bioku no
cushion nya di bioku no 1🥰h,cushion nya bioku no
Gabakal ad yg berani potong poni mayi sampe kek gt klo bukan emak nya 😂😂,gabakal ad berani potong poni mayi sampe kek gt bukan emak nya
🤣🤣,
cushionnya ada dibio ku no 1🥰y,cushionnya dibio ku no
emaknya yg potong kak 😭😭,emaknya potong kak
😭😭,
😻,
LAILAHAILLAH 😭,lailahaillah
"kak ijin koreksi, lailahailallah yg bener, jngn di ptong nnti beda arti",kak ijin koreksi lailahailallah bener jngn ptong nnti beda arti
IYAA KAKK MAKSDNYA ITU😭,kakk maksdnya
kmu juga cantik dek🤭,kmu cantik dek
cushionnya ada dibio ku no 1🥰🥰i,cushionnya dibio ku no
Timephoria,timephoria
thimeporia,thimeporia
cushion nya di bioku no 1🥰🥰h,cushion nya bioku no
yailah pirang udah bjsa diajak dandan😭😭😭🤏🏻,yailah pirang bjsa diajak dandan
Poni awetttt bener mayii😂,poni awetttt bener mayii
"""PAKE BEDDA""
Ihhhh lucu naaaaa mayiii kuu""🤏🏻😭",pake bedda ihhhh lucu naaaaa mayiii kuu
kok udh gedee sii😭🤏,kok gedee sii
gemees banget c mayii🥰,gemees mayii
mayi kamu g perlu pake bedak...😭😭😭udh glowing dr orok😂😂😂,mayi perlu pake bedakudh glowing orok
sama jirr😭👊,sama jirr
Sama ka😂😂😂,sama ka
iyaaa😭,iyaaa
sama🌚,sama
artnya mama kamari rumah/dia sering ada di sekitar km kak,artnya mama kamari rumahdia sering sekitar km kak
sama,sama
😁,
😂,
sekarang 10 RB lebih,sekarang rb lebih
skrg udh 18rb,skrg rb
skrg 19rb,skrg rb
64rb,rb
74rb,rb
"106,7rb",rb
cushioonnya ada dibioku no 1🥰g,cushioonnya dibioku no
cushion nya di bioku no 1🥰oo,cushion nya bioku no oo
