text,text_cleaned_full,manual
"gak bisa di like ya🤣
恋:.̷̼͉̞̗̖͎͇̹̍̅͗͂̓̏͒̕.̶̨̗͚͖̣̥̪͕̽̐̕.̴̭̠̳̘̱̼͖̗͐͌̌͘͠.̸̨̮͓̱̠͖̺̺̻͚̿́̋̋͑̈͊͊̀̊̚͝.̶̺̰̭̼̦͖̻̱̣̀̑̀̏.̸̢̛͙̟̼͇͙͈͑͛͆̓.̷̧̰͚̫͙͍̥̱͍͊̆̔͋̈̐̓͋̃͒̇̚.̶͉̹̗͚̄̆̈́͋͘͝.̷̯̹̻̫͓͉̩̑̈́͊̍͑͆̀͠.̶̡̢̞̖̘̕.̴̩̝͓̰̭̗͍͎̘̺̊͊́͆.̷̧̛͉͓͇̮̥̤̠̣̞̇͋͒̚͜.̷͙͔́̅̿̆̑̉̚͝.̵̛̭̮̼̜͕̀͂͌̀̀̑͒̽̓̚.̶̧͈͕̰̼̩͍̺̜̳̽͗̔̐̀͂̃͑̓͝.̷̺͙̹̼̖̀ͅ.̷̠̅͐͗͑̒̎͑̀͌̈͆́.̸̩͖̯̪̥͑̄͜ͅ.̶̧̨̩̫͎̖͓̬̙͇̓́̐ͅ.̵̹͖̟̘̓͒̿̋͌̔̒͑̈́̓.̵̡͍̦̯̙̖͂̌̈́̀̽͘͜͝.̵͕̠̰̑̀.̶͇̹̠̜̰̪͓͎̱̝͚̟̍̾͛̅͘.̵̧̙̰̖̻͍̤̝͇̎̑͂.̵̪͎͗̽̕.̶̫̭͈͙̀̀̅͘͝͠.̸̡̼̩͕̱̰͉̝͑̾̒͐̄͂̆̈͗͛͆̕.̴̢͚͙̦̿̊̀̕ͅ.̶̛̼͎̣͉̻̲͔͐̈́̐͛̓̈́̾́̕̚ͅ.̸̨̱̥̻͕̦̉̔̓̏͂̊̐̽̊̒̅.̶̨̡̤̠̞̦̙͈̖̰̹̒̄̂̅̉͊̑̀ͅ.̷̡̗̱̻͓͔̭͕͔̀͗͊͋̓̎͜͝ͅ.̶̛̛̝͓̟͛̀͑̅̍̎̔̒͝.̸̢̥̯͔̫̭͔͋̅͜͝.̷̡̡̧̡̪̫̠̯̘̫̤͑́̑́ͅ.̷͍͎̑͑͌͘.̴͓͝.̴̢̢̛͓̀͒̈́͑̒̊͝.̷̦͔͔̲̼̭͇̰͍̝̈́̾̓͊̎̆̋̕͝.̸̢̤̋̃̓̉͗̏̾̃̌̚͘̕.̵̨͓̼͚̮͆͂̍.̴̨̢̩͕̝͚̱̙̹̠̝̀̎̑̕ͅ.̸̡̫̺̜͙̃͌̈͆͝͝.̵̭͕͙̻͍͍̞̗̿͒́͆̎͒͑̈͜.̴̨͎̱͖̤̩͎͚̗̭̖̦͆̆̍̈́.̵̧̘̰̬̫̙̤͔̫̥̱̌͂̔̇̾͊̈́́̒͒̋͜.̷̳͕͓̲̭̺͓͓͆̽͗̌.̸̢͇͈͎͉͓͕̬̲̆͂̓̃̅̑̽̍́̕̚͜͠.̵̧̢̥̥͙͖̻͍̍.̴̜̖̳̌̒̈́̀͐͗́́̔͐̀̓.̴͚̯͕̏.̶̛̰̙̫̼͉̲͍͍̼͕̓́̉̐̈́̊̏̍̕.̵̢̖̘͖̹̪́̈͐̾̍̈́.̵̛͉̞̳͉̪͕̦͖̯̙̼̋͊̈́́̚͠.̵̘̙̍.̴̧͍̟̭̗̫͓̺̼̒.̸̟͎͕͑.̶̨̧̛̻̬̱̻̖͗̔.̸̢̬̰̰͇͔̞́̅̊̎̈́͂͂͗̾̏ͅ.̴̻̳̖̦͇̦̼̣̳̜̝̪͠.̵̨̰̳͍̈́͒͂̾̌͆̄̑̕͝.̵̡̛̯͇͚̰̬̰͊̉͐̾̽̀͜ͅ.̸̢̣̳̩̰̞̰̳̼̉̔͐̔̉̌̐͆͊͝͠.̶̨̣̠͉͈̙̯̤̤̖̖̀̊͑̓́͂̔̇͝͝ͅ.̵̣̱̱̰̈́͆̾̑̍̇͑̈́̊̓̚.̶̨̧̧̪̮͕̮̙̜̄͋̄́͋̈́͒͝.̴̟̉̽̍̅͠.̶̨̡͕̞͚͖͉̘̙̣̫̤͂̅̚.̵̰̼̎̂͌̏.̶̢̤̙̠̺̟͍̌͛̂͒̓͐̒̚.̷̡̹͇̘̺̺̥̱̜̝̉̽͗.̶͓̲̱͇͎̩̻͍͆͐̒͌̀̾̌͛̾̍͋͘.̷̂̄͆̈́̒̀͜.̴̞̖̞̳̾́̉̑̿͋̌́̉̓.̴͙͖̗̘̲̤͖̂̽̒̎.̷̫̩͚͖̬̬̲̹͑̐̕͝.̷̢̡̡̧̭͕̙̬̝̱̭̈́́̋͜.̸̛̬̳͙͔̌̾̈́̔̋͌͂̅͠.̶͇̖̐̈́́̀́͜.̷̗̹̉̋̍͋̀̆͆̓͘͠ͅ.̶̨̩͚̪̠̺͖̬͛̓̒͌͐͌̀̓̐̑́̏.̸̤͉̗̬͙͚͓̭̰̞̝̾̔͑̓̓̔̊̒̈́͘͝.̸͚͒.̷̧͓̲͈̙̱̉͆̿̾̎͐̔͐͜ͅ.̵̨͓̩̺̬̠͇̣̎̍̔̿̆̂̃͠.̸͖̦̻̓͌̆́̄̇̄̾̊̊̃͘.̴̢̡̦͇̹̗̦̲́̈͝.̸͇͓̫̖̜̞̀̋̀͆̓͌̆̈͜͜.̵̬͓͑͛̐̓̈̈́.̴̢̝̣͍̦͚͇̘͉̘͊̋̉̊̋́̍͠.̴̛̹͔̗̣̱̀̄̆̓̔͗͊͋̆.̶̧̮̥͔̹̫͎͒.̷̡̡̜̒̄̃̅͋̀̏̇͊͜.̵̜̜̐̄̏̇̓.̶͕̄̎͐̓̔͘.̶̹̹͐̍.̸̡̥͠.̸̡̧͕͖̫̹̎̓.̷͈̲͍͎̯̮͍̙͉̳̄̏̈́̇̄͊́͜͠͝͝͝.̷̡̝̳͔̯͍̼̦̪͔̠̣̔̀̔̑.̴͔̼͌̇͛̃̂.̶̛͔͈͖̼͉̔́́̽͘͝͠.̶̜̖͈̱͚̠̺̋ͅ.̸̢̡̧̜̘̯̰͎̘̂̈.̴̛̬̟͉̌͌̅̈́̂͌̈́̚͜.̶̠͒̑̃̅̿́͘̚.̵͔̖͕̙̮̈́.̵͈̳̆̽.̴͈̅̇̈́̈́͒́̏̓̊̕.̵̨̮̜̬͓̻̆͑̀́̾́͂̉̔͌̎͆.̴̻̬̜̥̞̺̥̃͊̉̀͠.̴͕͙̘͊̔͜.̷̡̰͚͕̟̔̀͆́̎̕͘ͅͅͅ.̶̢̳͈͇̼͔̘͇̝̯̮̦̉̔͝.̴̨̨̯͖͇͍̃̿͌͋͗̒̚.̶͎̃̃͌̎̔̏̀̄͛̈́͋.̸̧̛̛̳̠̣͕͕͔̦̮̒̈̆̈̈́́̆͆̚͝.̶̘͍̮̥̓.̶̺̐̌͊̂.̷̟̀.̴̧͎̪̥͎̜̜̠̟̓̏̓̑͂̏̏͐͜͠͝.̸̧͕̟̖̳̲̤̝̂̍͗͜͜.̸̧̞̳̹̩̜̟̇̒̏͘ͅ.̶͔̰̯̥͖̰͚̄̌̅.̴̝͍͈̩̘̌͑.̴̱̘̱̹̳͍̮͉͗̊̋̇̏͝͠͝͝.̶̧̢̥̥͈̜̓.̶̹͍̺̰̜̟̰͓̜̱̎͐́.̷̨̩͔̝͕̫̱̞̫̝͂̿.̸̖͖̟̹͍̰̟̲̟̫͑̂͊͐̽̈́̇͠.̶͇̙̎̏͘͝.̸̨̨̯̥̯̳̜̊͒̄͒̄̚͠.̶̲̟͗͠.̴͔̫̦͐̑̑͑̿̔̐̽͝.̶̠͔͚̮̺͙̞̫̙̄̑̀̎ͅͅ.̵̢̡̙̼͓͖̻͖̹̞̯͆́͜.̵̢̹̘͒̎̈̏̓̋̀͗ͅ.̸̡̗͕̭̬̲͙̙̭̩̊̋̋̊͗̋͆̑͊͘͠.̴̻̬̥͚̦̀͊̎͗͒͝ͅ.̷̄͋́͋right.̴̢͓͉͔͓̗̦̬́͗̋̏͜.",bisa like right,
mau pinjam mayi bole ga ka😌,mau pinjam mayi bole ka,
doi poni miring aja cakeppp bgt yak😭😭,doi poni miring cakeppp yak,
'mayi mintaa' lucu bgtt adekkkk😭🥰,mayi mintaa lucu bgtt adekkkk,
kapan buka cabang chewy's di lampung jen🫵,kapan buka cabang chewys lampung jen,
Love you kak jen dan mayi😘,love you kak jen mayi,
marrr😭,marrr,
Poni crop top😭,poni crop top,
eh maaf 😭😭 dri justin,maaf justin,
BNTR LG KAMARI REBUT MEKAP MAMA NYA😭,bntr kamari rebut mekap mama nya,
poni nya masih croptop 😭🤏🏻,poni nya masih croptop,
,,
😭🤏🏻,,
hi guyss,hi guyss,
😭,,
masih ngakak ama Poni croptop,masih ngakak ama poni croptop,
masih 14😭,masih,
mayii: oh mai got bagus banget alis gw,mayii oh mai got bagus alis gw,
😁🤭,,
Pertama bgt ini mayiiii🥰,pertama mayiiii,
sekarang udah berapa gais?,sekarang berapa,
kabarin klo sudah ribuan,kabarin ribuan,
Allo kamari,allo kamari,
sekarang brp,sekarang brp,
cakep til,cakep til,
🥰🥰🥰,,
😁😁😁,,
@wingsLoon,wingsloon,
🥰🥰🥰,,
😁😁😁,,
💋💋💋,,
🥰🥰🥰,,
😢,,
😁😁😁,,
😅,,
😁,,
😁,,
😊,,
😂😂😂,,
😞,,
😭,,
😭,,
jennn kamu cntik baungetttttttt 😻😻😻😻😻,jennn cntik baungetttttttt,
masyallah mayi,masyallah mayi,
kamari🥰🥰,kamari,
mayiiii❤,mayiiii,
Lah lama-lama mirip indahkus 😅,lamalama mirip indahkus,
masih sepii guys,masih sepii,
centill bangett adekkkkk,centill bangett adekkkkk,
cepet banget gedenya😭,cepet gedenya,
dia putih tapi bedakannya malah suka yg coklat tanskin,putih tapi bedakannya malah suka coklat tanskin,
jen pinjem mayi 1 bulan aja🫴,jen pinjem mayi bulan,
kyuttt bgt kamayi,kyuttt kamayi,
saingan bedak sejak kecil . sama mayi😁,saingan bedak sejak kecil sama mayi,
kepencet ya,kepencet,
ihh smpk sni kamuu😂,ihh smpk sni kamuu,
😭😭😭😭,,
*mayi cantikkan*?,mayi cantikkan,
lucu poninya crop bngt😭,lucu poninya crop bngt,
mayi minta🤏🏻😻😻😻😻,mayi minta,
ponimu ngga nahan mar😭,ponimu nahan mar,
Mayi jagan besar dlu😭 tetap bayi aja,mayi jagan besar dlu tetap bayi,
bayyikkk lucu banget 😍🥰,bayyikkk lucu,
halooo kamariii🥰,halooo kamariii,
mayiiii acuuuu,mayiiii acuuuu,
girls,girls,
udh gede aja mayi bsk lgsg wisuda aja ya,gede mayi bsk lgsg wisuda,
"""mayi mintak""",mayi mintak,
“mayi mintak” wkwkwkkw,mayi mintak wkwkwkkw,
mayi udh siap jadi MUA di belanda,mayi siap mua belanda,
Kenapa sihhh lucu bangett😍😍,kenapa sihhh lucu bangett,
"""mayi cantik"" cantik bgt kmu mah mayiiii 😍🥰",mayi cantik cantik kmu mah mayiiii,
MAYIII😭,mayiii,
Gemes bgtt,gemes bgtt,
"kulit lo kok bisa ya nge blan sempurna gtu til, bagus bngt sehat, orng"" mau putih lo mau sawo matang😭",kulit lo kok bisa nge blan sempurna gtu til bagus bngt sehat orng mau putih lo mau sawo matang,
gemeeez🥰🥰,gemeeez,
Lucuuuuk bgt adekkkk,lucuuuuk adekkkk,
kamayiiii lucuuuu,kamayiiii lucuuuu,
Siapa yang potong poninya 😭,siapa potong poninya,
comel kalii❤❤,comel kalii,
mayi dan mamayi siap bersaing dapetin jusa😭,mayi mamayi siap bersaing dapetin jusa,
ayo sebelum Ribuan 👏🏻✨,ayo sebelum ribuan,
p,,
kamari bayi online ku.. 🥰,kamari bayi online ku,
sering buat konten gini bareng mayi dong ka jen 😍😍🫵🏻,sering buat konten gini bareng mayi ka jen,
lucu banget plissss🤏🏻🤏🏻,lucu plissss,
pertama,pertama,
baru aku perasan muka mayi mirip muka Jen,baru perasan muka mayi mirip muka jen,
hayy,hayy,
eh mayi kok ude gede aje lau😂,mayi kok ude gede aje lau,
cushion nya merk apa ya?,cushion nya merk apa,
Kembalikan mayi yang dulu ngga🫵,kembalikan mayi dulu,
auuuu makin lucu❤🥰,auuuu makin lucu,
🌹,,
🥰,,
🥰,,
😊😊😊,,
😂,,
💪💪💪,,
😁,,
🤩,,
🙂,,
😳,,
😁,,
😁,,
😅,,
🥰,,
😁,,
🤩,,
😌,,
🥰,,
😭,,
😊,,
🙏,,
🥰,,
😁,,
😁,,
😂,,
😭,,
😂,,
❤,,
🥰🥰🥰,,
😳,,
Tadi malam mimpi berenang smaa mayi😭,tadi malam mimpi berenang smaa mayi,
🥰,,
😁,,
mamanyi mirip Lisa blackpink,mamanyi mirip lisa blackpink,
🤭,,
😁,,
😁,,
😁,,
😂,,
🤭,,
😭,,
🥰,,
mayiiiii micuuuu,mayiiiii micuuuu,
😁,,
😭,,
dia nyanyi lagu apa till,nyanyi lagu apa till,
poni crop top nya lama bgt tumbuhnya til 😭🤣,poni crop top nya lama tumbuhnya til,
skrng berpaa,skrng berpaa,
Putih juga lu til,putih lu til,
mayi cantik ngga🥹🥹,mayi cantik,
centilnya blondee,centilnya blondee,
mayiii poni nya crop top🤏🏻,mayiii poni nya crop top,
MUAnya masih pake pempres😋,muanya masih pake pempres,
Mamari cakep bgtt😭😭,mamari cakep bgtt,
lucuuuuuuu bangettttt adik gwwwww🤭😘😘😘😘,lucuuuuuuu bangettttt adik,
poni mayi bergelombang 😭,poni mayi bergelombang,
gemess☺☺ banget 🥰🥰,gemess,
"mayi sayang,ciapa cih yg potong poninya? pendek cekalii poninya tp mayi ttp lucu kok ☺",mayi sayangciapa cih potong poninya pendek cekalii poninya mayi ttp lucu kok,
ih mayo udh gde?😭😭,ih mayo gde,
beneran timephoria sebagus ituu pls!! 🤩,beneran timephoria sebagus ituu,
"lucuu bangett""mayii mintakk""",lucuu bangettmayii mintakk,
lucu bgt sehat terus ya mamari,lucu sehat terus mamari,
lucu amay mayiiiiii,lucu amay mayiiiiii,
cushion nya di bioku no 1🥰u,cushion nya bioku no,
😂,,
😭,,
🥰,,
😁😁😁,,
💃,,
🤭,,
🥰,,
😂,,
adekk gemesh banett😭🤏,adekk gemesh banett,
mayi per kilo berapasaihhh mau CO 😭,mayi per kilo berapasaihhh mau co,
"udah kan jen,mayi?skrg mana cowo tinggi besar pemain bola itu🫴🏻",jenmayiskrg mana cowo tinggi besar pemain bola,
😳😳😳,,
🥰,,
😂,,
❤,,
😳,,
😁,,
mayi mitak😭,mayi mitak,
😘,,
😔,,
Itu kapn sih poninya mari panjang 😭,kapn poninya mari panjang,
😂,,
😋,,
☺,,
😂😂😂,,
😔,,
💓,,
😀😀😀,,
😁,,
🤭,,
🥰,,
💕💕💕,,
😘,,
😂,,
😁,,
☺,,
🥰,,
😭,,
kamari pake Ciput merek apa 🙌🏻,kamari pake ciput merek apa,
lebih cakep anknya dri pada di sebelahnya,lebih cakep anknya sebelahnya,
itu poni croptop kapan panjangnya deh til,poni croptop kapan panjangnya til,
poni nya k tinggian ga si 😔😔😔,poni nya tinggian si,
🥇,,
"""okey mau minta"" gemmas bgtt😭😭",mau minta gemmas bgtt,
Poninya ih😭,poninya ih,
😍😍😍😍😍,,
😳,,
😂,,
aw mayi😚,aw mayi,
❤,,
🥰,,
😁,,
👍👍👍,,
😅,,
mama kamari pilih club apa madrid or barca,mama kamari pilih club apa madrid or barca,
🥰🥰🥰🥰,,
🥰🥰🥰,,
"pinter banget , MashaAllah mayiiii🥺",pinter mashaallah mayiiii,
😁,,
🤣,,
🥰,,
🥰🥰🥰,,
🥰🥰🥰,,
🤭,,
😂,,
😔,,
😂,,
😭,,
😁😁😁,,
😬,,
Err:520,,
😂,,
😜,,
😂,,
😁,,
😘,,
🥰,,
🥰,,
😫,,
😍😍😍,,
❤️❤️❤,,
❤❤❤,,
🤭🤭🤭,,
"tibaa"" bgttt nyanyiii😭
lucuuuu bgttttt mayiiiiiii🤏🏼👧🏼",tibaa bgttt nyanyiii lucuuuu bgttttt mayiiiiiii,
🥰,,
🥰,,
🥺,,
🙏,,
😂,,
🥰,,
❤️❤️❤,,
😂,,
😭,,
🙏🏻🙏🏻🙏🏻,,
🥰,,
😅,,
MasyaAllah🥰,masyaallah,
😌,,
😩,,
🥰,,
😂,,
😭😭😭,,
bayii makin lucu dah😭💗💗,bayii makin lucu dah,
hahaa imutt bangett blondeee🤭,hahaa imutt bangett blondeee,
Emeshhhh❤,emeshhhh,
mayiii gemeees iih🥰🥰,mayiii gemeees iih,
Aduh gemes mayiii😘🥰,aduh gemes mayiii,
"""mayi cntik kan"" ihhh cuuuu bgttt adekkkk🤌🥰",mayi cntik ihhh cuuuu bgttt adekkkk,
"""mayi cantik kan"" duuuh Dee kamu gemes bangeet makin pinter🥰",mayi cantik duuuh dee gemes bangeet makin pinter,
mayi poni croptop 😳,mayi poni croptop,
"""Mayiii Mintakk"" Gemassssss bgtttt sehhhh mayiii",mayiii mintakk gemassssss bgtttt sehhhh mayiii,
mayi 😭😭😭,mayi,
Mayi dengan poni croptop nya 😂,mayi poni croptop nya,
Maayiiiii🥰🥰🥰,maayiiiii,
kapan poni crop mayi numbuh ya?? 😁,kapan poni crop mayi numbuh,
Adekkkk 😭💗 udah pada gede ajaaaa,adekkkk gede ajaaaa,
“Hai gays”,hai gays,
poni ny😭,poni ny,
😭,,
😄,,
🥰,,
😂,,
🥰,,
😅,,
🥰,,
🥰,,
😭,,
😍,,
❤,,
kamati udah tau putih masih aja pake bedak,kamati tau putih masih pake bedak,
🔥🔥🔥,,
yang motong poniii sapaaa siii 😭😭🤣mereng tapi lucukkkkkkkkkkkk,motong poniii sapaaa siii mereng tapi lucukkkkkkkkkkkk,
🥰,,
🙏,,
😅,,
😂,,
🤣🤣🤣,,
😇,,
😍,,
🙏,,
😁,,
🤣🤣🤣,,
🥰,,
mayi:day 1 mua,mayiday mua,
✨,,
❤,,
😁,,
lucu bgt😭❤,lucu,
😭,,
😂,,
bare face nya cantik bgt mamari 🥰,bare face nya cantik mamari,
mayi ko udah gede sikk🤏🏻🤏🏻😭 udah bisa mikap lucuuu🤏🏻🤏🏻💞💞,mayi ko gede sikk bisa mikap lucuuu,
