text,text_cleaned_full,manual
mayi siapa yang bertanggung jawab atas ponimu.😭😭,mayi siapa bertanggung jawab atas ponimu,
NGAKAK BGT TIAP LIAT PONI CROP TOP MAYII😭,ngakak tiap liat poni crop top mayii,
Blonde ni mukanya netherland banget ya,blonde ni mukanya netherland,
mkin besar mirip ppanya bgt🥰,mkin besar mirip ppanya,
😍😅 Makin lucu 😌😂,makin lucu,
"""mayi tantick kan"" lucuuu",mayi tantick lucuuu,
sumpah tetanggaku mirip kamari bgt😭😭,sumpah tetanggaku mirip kamari,
lucuu bgtt mayiii🥰,lucuu bgtt mayiii,
lucunya mayii😍,lucunya mayii,
lucuu polll,lucuu polll,
Pas said Bedak ny medok bgt ❤️🥰masyaAllah Mayi dah gede,pas said bedak ny medok masyaallah mayi dah gede,
ih ucu bgt dedekk😘😘,ih ucu dedekk,
lucu banget adekk🤏🏻,lucu adekk,
poni crop top nya lucuu bgttt😻🤏🏻,poni crop top nya lucuu bgttt,
"bocil paling lucu,dah mahir ngomong 🤗",bocil paling lucudah mahir ngomong,
makin gede makin pintar aja bayi yang satu ini😭🤏🏻,makin gede makin pintar bayi satu,
"""mayi tantik kann "" ya Alloh gemes nya 😭🥺",mayi tantik kann alloh gemes nya,
kulit lu jadi natural😌jadi pengen,kulit lu naturaljadi pengen,
AAHHHKK GEMAS SEKALI ADE😍,aahhhkk gemas sekali ade,
lucuu bangett kamayii🤏😫,lucuu bangett kamayii,
si Marsha uda gede aja 😭,si marsha gede,
pinter bngt mayiii🥰,pinter bngt mayiii,
aaaakkkk lucu banget mayiii,aaaakkkk lucu mayiii,
ditunggu video unboxing nya kaaa🥳,ditunggu video unboxing nya kaaa,
mayi minta🤏,mayi minta,
so cutee mayii,so cutee mayii,
iii gemess,iii gemess,
"mayi mau gmna pun ttep lucu, poninya begitu aja masi kliatan lucu😭",mayi mau gmna pun ttep lucu poninya begitu masi kliatan lucu,
“mayi cantik kan?” CANTIK KO MAYII🤏🏻🤏🏻😵😵,mayi cantik cantik ko mayii,
YAAAELAAHHH UDHH GEDEEE BGTT😭😭😭,yaaaelaahhh udhh gedeee bgtt,
Tambah lucu aja bayi bule satu ini 😁,tambah lucu bayi bule satu,
Adek mayi mau punya adek lgi ga,adek mayi mau punya adek lgi,
Lucu sekali kamayi😍😍,lucu sekali kamayi,
"""mayi cantik kan?!""",mayi cantik,
akayy🤣🤣🥰🥰🥰 gemes,akayy gemes,
